textID,tweet_text,sentiment
1956997619,"claire @breakfastnt love the show, got into the office @ 5am and no radio",positive
1956998532,*sigh* I'm going to bed... I just don't feel right anymore...,negative
1956998704,Now I am depressed after watching so you think you can dance,negative
1957000040,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",negative
1957000290,"I cant sleep, but im too sore to move",negative
1957000314,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,negative
1957000336,@softtouchme just answered you- never learned how to write in French- just basic stuff-,negative
1957001854,RIP leonardo. You were a great mini fiddler crab,positive
1957002082,"Last day working for the Uni today, sad times",negative
1957002773,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",positive
1957002923,My head hurts so bad I could scream!,negative
1957003356,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,negative
1957003440,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,negative
1957004749,don't you hate it when you finish all your work and there's still 1.25 hours left of work time,negative
1957005226,is still missing her husband.    I really want him home.,negative
1957005279,I miss my puppy,negative
1957005696,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.,positive
1957005713,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),negative
1957006033,@BarbSchaefer yearling in pet home died... very sad for their whole family,negative
1957006307,is feeling sad... for some reason..  http://plurk.com/p/wxji3,negative
1957006674,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,negative
1957006947,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",negative
1957007357,Have a headache  I'm going to bed. Goodnight!,negative
1957007437,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",positive
1957008075,Took a shift tomorrow.    I don't really feel like working right now.,negative
1957008193,but now i have no money for a phone,negative
1957008292,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything,positive
1957008434,@Bern_morley where are you? In Bris? I can't hear any thunder,negative
1957008498,Too bad the Red Devils.. disappointing to say the least,negative
1957008802,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",negative
1957008987,when da heck will the garage man get here I ask you.. WHEN..,negative
1957009454,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",negative
1957009666,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,positive
1957010072,why are plane tickets so expensive,negative
1957010415,Needs a job BADLY!!!,negative
1957011291,@AlexanderGWhite daaammmnnnnn I do wish I was there.,negative
1957012535,@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4,negative
1957013149,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,positive
1957013723,would wish the severe migrains would stop!!! doc's prescriptions arent working,negative
1957013804,@bobbyedner i missed the game,negative
1957013895,@tiffalo cuz airlines are super lame.,negative
1957013896,@lenje - Still a pity it comes with no lamb though,negative
1957014267,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,negative
1957014389,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",negative
1957014493,I'm so very tired...and have insomnia.,negative
1957015719,people in my house do not know how to close doors,negative
1957016169,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,negative
1957016339,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,negative
1957017177,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",negative
1957018162,i think the vog is making me sicker than i think. feeling slightly achy,negative
1957019034,i am doing homework it sux big time maths is the worst!!!!!!,negative
1957019458,#3wordsaftersex it never started...,negative
1957020861,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",positive
1957021224,@mysticnz no im not  cries LOL,negative
1957021486,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,negative
1957022799,@FoxxFiles aw u can't let me in on the secret!,negative
1957023133,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",negative
1957023263,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",negative
1957023739,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,negative
1957026475,It's pissing me off and not letting me follow ericka,negative
1957027687,@koifusionpdx i was so close to the tacos...one spot too late,negative
1957028895,I haven't seen Muffin in two whole days!,negative
1957029111,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,negative
1957029641,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",negative
1957029899,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,positive
1957030196,my twitter has been hacked again,negative
1957030545,Just found mj mouse flats at DJs. Of course there are none left in my size,negative
1957030622,@lanacaitlin  hahaha well its try its so ugly,negative
1957031520,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",negative
1957031859,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,positive
1957032539,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",negative
1957033043,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,negative
1957033776,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,negative
1957033874,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,negative
1957033901,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,negative
1957034289,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,negative
1957035419,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?",negative
1957037860,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",positive
1957038324,my teeth and head hurts,negative
1957039203,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",negative
1957039456,no more arrested development. i am sad.,negative
1957039841,"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night",negative
1957039922,I feel so deflated. No more doggy.,negative
1957040988,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,negative
1957041648,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,negative
1957041767,ALO is so sad and quiet and empty tonight,negative
1957041812,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",positive
1957042474,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,negative
1957042799,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,negative
1957043226,Sad that Christian Lacroix had to file bankruptcy,negative
1957043241,I dont feel good AT ALL. fuckkk,negative
1957044694,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!,negative
1957044789,@Moss1982 bad times?,negative
1957044935,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,negative
1957045395,Have to go to the dreaded DMV tomorrow,negative
1957046090,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,positive
1957047408,"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi",negative
1957048870,I feel so deflated. No more doggy.,negative
1957049167,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,negative
1957050684,is feeling bad  just got bad news about my Mum,negative
1957050890,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,negative
1957051517,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",negative
1957052932,feels sick to my stomach and idkk whyy,negative
1957053247,Counting the hours of lost sunshine until the Weekend,negative
1957055178,"got to final table, but....went out third.  Don't think I'll be getting my free seat",negative
1957055530,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,negative
1957055981,FB is boring   and i wanna sing RIGHT NOW..! *-*,negative
1957057026,Last day at work...Sick to the bone,negative
1957057469,i feel like I'm on house arrest.,negative
1957058219,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,negative
1957059348,my stupid tooooth hurts,negative
1957059587,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is,positive
1957059917,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,negative
1957060283,@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,positive
1957060439,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,negative
1957061418,@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,negative
1957061527,my dog ran awayyy,negative
1957061884,@all_is_one84 Those suck so bad.,negative
1957062676,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp,positive
1957062827,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,positive
1957064177,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,negative
1957064566,"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night.",negative
1957064575,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day",negative
1957064908,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",negative
1957066120,@charloro jealous  it looks like schindler's list in toronto,negative
1957068229,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all.",negative
1957068880,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,negative
1957069453,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!",negative
1957070484,"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing",negative
1957070534,@meljachin: eww. dislike,negative
1957070871,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive
1957071331,"@SuzyDunkley sorry bout the cat,",negative
1957072308,my stomach feels like it's touching the ground..i'm SO full,negative
1957072400,Pug just woke me from an incredible sleep!,negative
1957072637,@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!,positive
1957072682,Sooo much work so little time,negative
1957072896,missed iron chef,negative
1957073073,@thevowel the DS version sucks,negative
1957073668,@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun,positive
1957073753,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs,negative
1957073984,"Ugh, my internet was down!",negative
1957074101,omg i didnt tweet all that much today.... *sadness*,negative
1957074214,is feeling so giddy and wanna go home.,negative
1957074812,@rockingjude The link doesn't work,negative
1957075229,Somebody please save the polar bears!,positive
1957076433,I miss my mom..  &quot;May angels lead you in&quot;,negative
1957076577,on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;,negative
1957077564,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,negative
1957077934,@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it,positive
1957079130,@JayDz hope ya sleepin well  guys still here,positive
1957079355,"i should be finished.... but i'm not.  color drawing, here i come.",negative
1957079403,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please",negative
1957079533,damn being drunk and hot sucks,negative
1957079568,misses my baby.,negative
1957079972,Showered in ice-cold water. Sweating now. Means one thing: I'm sick,negative
1957080579,I'm poorly and can't sleep,negative
1957080963,Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.,negative
1957081280,"@RoasterBoy And these poor, unfortunate souls don't appear to have any pants at all...  ? http://blip.fm/~78qvz",negative
1957082086,"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman.",negative
1957082503,@jessicaduncan http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!,negative
1957082538,@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw],negative
1957083056,Can't sleep and nothings on tv!!,negative
1957083230,@KallieT oh ... you've been superseeded?  not good enough,negative
1957083786,"is really, really bored... I guess I will go to bed",negative
1957084166,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.,negative
1957084446,@nickkk_ that sucks!,negative
1957084552,@dorkydeanna IIII know!!! and mean,positive
1957084638,Having Fever  dont feel to work,negative
1957084742,"Taking Horse Pills, hoping I can get some sleep tonight",positive
1957084935,@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one,positive
1957085151,@juliaiiivir Hey! That's my school! I hate that place.,negative
1957085211,"Working from home today, my back is killing me  Doctor and then physio after later today.",negative
1957085406,back to work.. with no distractions..,positive
1957086137,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!",positive
1957087043,"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic",negative
1957087059,is desperatly hoping my dad takes me to vanessa's game,positive
1957087780,@pb_and_jay hi!  Fuck your job!,negative
1957087793,Missing you all deeply,negative
1957088179,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot",negative
1957088574,Somebody please save the polar bears!,positive
1957088900,"My nose is runny, my head is pounding, and teeth hurt like a bitch. MAN. @-) I feel awful.  =((",negative
1957089386,Headin home...Refreshed my mind and soul justa lil bit...Bac to reality.,positive
1957090025,At the Grove for 'Drag Me to Hell.' I hope that it doesn't suck.,positive
1957090285,@NOLAevol so i feel like shit for saying HAPPY BELATED BIRFDAYY.. i'm only a month late,negative
1957090408,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack",negative
1957091075,FC is finally up again. it's about time. i hate that this keeps happening,negative
1957091147,seriously bored without anyone to talk to... but not tired enough for sleep,negative
1957091372,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day,negative
1957093185,hoping i didn't fail english. that would just be sad,positive
1957093920,@MariusLT I'm sorry about your bad driving experiences.,negative
1957094323,Already misses @CMontecillo,negative
1957094812,"plan may changes , nooooooo",negative
1957094989,my sister is a douchebag,negative
1957095452,@fiercebanana there's relisting fees when you don't complete a sale?  that sucks!,negative
1957096302,I knew I should've worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat,negative
1957096447,@ddlovato july... too long,negative
1957097629,Wearing glasses gives me a headache.,negative
1957098732,"finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!",negative
1957099112,#liesgirlstell  a guy calls her phone to see if the number is real ) ohh my phone isn't working . try tomorrow .,negative
1957099758,I'm bummed that I can't wear my sweet Nike kicks to work.,negative
1957100351,sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!,positive
1957100428,@joek949 It's depressing I'm stuck inside all day,negative
1957100610,@rachelasha I even saw the news feeds of the archie website. But can't believe he'd choose veronica. I'm disappointed,negative
1957100791,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync,negative
1957102266,depressed that i wasn't included in the morcom gardens quiz on facebook,negative
1957102464,Upsidedown tomato plants died!,negative
1957103043,"friday here at last, not much fun when your skint though",negative
1957103831,@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:,negative
1957103842,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride",positive
1957103882,My children have promised me birthday brekkie in bed. There's a problem with that in that there's bugger all food in the house,negative
1957104795,I cant use my blackberry today. This sucks.,negative
1957104830,Q: what studio created 'Open Season'? should google it or look at the dvd downstairs but feeling lazy,negative
1957104948,@prncsztalia why do you hate me!?,negative
1957105472,time for tv in bed.Then spending all day catching up on studying  i hate online summer classes,negative
1957105755,http://twitpic.com/663vr - Wanted to visit the animals but we were too late,negative
1957106132,@prime8507 PC I agree...  We have a problem. We must stop spending and only work!!!,negative
1957106328,#jonaswebcast i just missed it!!!!,negative
1957106609,Dang it! I REALLY look like crap!! Sigh only had 35mins to shower and 10mins to get ready,negative
1957106916,So exhausted..can't sleep. I don't like these nights,negative
1957107095,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz,positive
1957107599,lol i cant drink!!,positive
1957109281,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face,negative
1957109545,Cannot sleep. 2+ hours of tossing and turning.,negative
1957109983,Omg going to die of swine flu when I go to Melbourne,negative
1957110088,Packing  I don't like it..,negative
1957111418,@crispynoodles plus I just deposited tax return cheque but for first time in 7+ years it didn't clear immediately,negative
1957112874,Holy crap! It's raining in LA and I don't have a jacket!  oh no.,negative
1957112925,Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain,negative
1957113346,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",positive
1957113844,Rejecting all food substances.,negative
1957114162,"@bigyahu no I was trying to interview Dr Paul Twomey, CEO of ICANN. Phone issues cut the interview from 30 mins to 15.",negative
1957114904,@meghanwong don't think i can take a needle. watched a horribly gory short film on drugs a few months ago. i'm scarred for life.,negative
1957114960,I don't wanna go back to work   sleepy time.,negative
1957115198,watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.,negative
1957115476,@zaharh that sucks!  how old are you actually?,negative
1957116154,@rbuerckner That's better than Missy 8 telling me I should be on The Biggest Loser,positive
1957116748,Just saw a fox!  as i was getting on the freeway... I hope it goes home,positive
1957117050,recapping on britains got talent. britain seems more talented than america,positive
1957117307,@officialTila I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;,negative
1957117458,"good time Rocking out @ open mic, thanks 4 all the love n support. Now working on Business plan presentation. No CG again 2nite",positive
1957117786,@laurelexmachina Swimming is a no go for me,negative
1957118612,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun,negative
1957119815,@ccburns Unfortunately not,negative
1957120981,I loved johnny carson now I'm going to hate seeing jay leno go,negative
1957121259,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha,negative
1957121670,doing my english essay (on r&amp;j...wtf) that i should have done a long time ago when it was assigned last thursday,negative
1957122354,FINALLY...the internet is up. The server is down in Phoenix and it was fucked up.,negative
1957122777,@Harishk: @krist0ph3r @saurabh sorry guys i have to drop out of the trip... some personal commitments..,negative
1957123048,@UniqueMakis Awesome! Wish I could fly out to see her,positive
1957123350,@nawid nope  het is LOST&amp;found he ;-),negative
1957123469,"At Rocky Cola Diner in Whittier tonight with teacher pal Mr. B, we had a great time chatting but no one else came...",positive
1957123693,Off to bed!! Still exhausted from Vegas,negative
1957123747,"@heresmyhello92 LOL, very true. Maybe next year. I loooved that siggy, and I don't remember what the password for the mod thing was  Cake?",positive
1957124014,ummm sooo yeh....its really hard to concentrate rite now wen i have this weird #lupus feeling goin thro my body,negative
1957124444,@JetWolf I know I enjoy watching you two on twitter. About as entertaining as the comic.  That I miss,positive
1957125620,@Dakshinamurti Not yet... sorry,negative
1957126750,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited,positive
1957126765,god i cant even catch public transport. swine flu is shit house,negative
1957126859,"Dad just said that our trip to UK is cancelled, due to da swine flu. Ooops! Sorry abang.",negative
1957127234,Hahaha! Alright  ..,positive
1957127251,@guitar21g @jackie_hussein i have to wake up earlier than i thought.. my dad wants me to take him food at 9AM! no0o0o0o!,negative
1957128473,um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail,negative
1957129191,wants see my friends  ;-) http://plurk.com/p/wxnwa,positive
1957130295,@seanpercival Unless that invite comes with a beta key I'm not going to be much help...,negative
1957130797,"@askegg I'm sorry, Andrew. I wish there was something I could do...",negative
1957131196,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol,negative
1957131233,Is ANYBODY up? .... I'm sooo bored!,negative
1957131626,"@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad",negative
1957131642,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.,positive
1957131762,@omgjoker o its feels like a hot box and no matter where i go in here it still feels like a hot box! ice cream isn't working n e more,negative
1957132373,@aannniieee uuuugh  i hate everything,negative
1957132511,"Is taking a moment to reflect...I want my annonymity back,FB!!!!  Is it safe to say anything about someone else to another friend again?",positive
1957132732,@sha_da_asshole ï¿½ cant im not @ my sister house no ï¿½-net tonite,negative
1957133079,"Damn, hi Facebook ? what's wrong with you ? can't add photos",negative
1957133192,"aku kbangun gara2 mimpi @manyolitha, very bad dream",negative
1957133461,4 more followers.. follow me and I'll love you!! *pouts* Please?,positive
1957133900,"@textdrivebys i dont even have a WII! b likes xbox, so that's what we have  do you use it?",positive
1957133923,"I can't sleep, this is so darn frustrating.",negative
1957134278,My BFF rocking Hotel California now. No @NKOTB songs!  done stay the same. What's next? Hmmm.. Careless whisper!,negative
1957134402,@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.,negative
1957135976,Not feeling too good,negative
1957136704,is going home... I've seriously had enough,negative
1957137074,i miss oklahomaaaaa  listening to citizen cope til i pass out.,negative
1957137208,@skyduke478 that makes me sad for you,negative
1957138659,Feels like im going to cough up a lung,negative
1957140211,Wishes you had teased me with movie night,positive
1957140229,"I lost 4 followers over night, nobody likes me",negative
1957140443,@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.,negative
1957140584,I want a new phone  I've seen too much cellphone commercials (,negative
1957140914,"@Anime81  I'm soo sad. It's just on the edges of the pages, but it's not gonna come out. *cries*",negative
1957140966,"this time, i really need to shut it.. i'm going to sleep! my head aches badly and i really can't take it..",negative
1957141723,@soonseeofpred becuz you braggin,positive
1957142001,@JoannaAngel I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.,negative
1957142103,@lawikyn ze Franz has not friended me  i think they think i'm a creepy stalker or sommat. Hmph.,negative
